epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.726,1.01076,3.09821,1.16751,0.59609,0.41942,0.4418,0.3549,0.73624,1.29228,0.99683,0.0702703,0.0033033,0.0033033
2,591.395,0.85266,1.2235,1.05251,0.77056,0.42826,0.49972,0.37804,0.85192,1.22546,1.04555,0.0401389,0.00650523,0.00650523
3,1331.8,0.89251,1.10667,1.05523,0.6834,0.39477,0.42269,0.3099,0.93548,1.7872,1.0537,0.00987546,0.00957516,0.00957516
4,1557.53,0.97096,1.14091,1.08288,0.66369,0.47397,0.5205,0.3751,1.01504,1.20851,1.07788,0.009406,0.009406,0.009406
5,1709.95,0.97128,1.07225,1.07926,0.74433,0.49293,0.56613,0.41421,0.88795,1.08222,1.03226,0.009208,0.009208,0.009208
6,2015.71,0.95706,1.01735,1.06701,0.77394,0.54398,0.60518,0.42917,0.91898,0.96619,1.03381,0.00901,0.00901,0.00901
7,2179.69,0.95406,0.96733,1.06899,0.79071,0.5445,0.6066,0.44582,0.86357,0.91909,1.01165,0.008812,0.008812,0.008812
8,2318.21,0.91444,0.91046,1.04721,0.83748,0.54791,0.63309,0.4762,0.82675,0.87257,0.99862,0.008614,0.008614,0.008614
9,2474.49,0.89912,0.86424,1.02836,0.88645,0.54739,0.63025,0.47002,0.84945,0.83258,1.01018,0.008416,0.008416,0.008416
10,2585.84,0.86862,0.83076,1.01652,0.85061,0.55302,0.6418,0.47953,0.81586,0.84927,0.98205,0.008218,0.008218,0.008218
11,2748.02,0.84312,0.81107,1.00846,0.82783,0.53693,0.6181,0.46497,0.84484,0.89984,1.00895,0.00802,0.00802,0.00802
12,2844.93,0.86017,0.81999,1.01166,0.87142,0.59262,0.6767,0.51087,0.76699,0.74248,0.96223,0.007822,0.007822,0.007822
13,2947.09,0.83329,0.77049,1.0033,0.86885,0.58562,0.67441,0.51165,0.77685,0.7719,0.96284,0.007624,0.007624,0.007624
14,3055.8,0.81696,0.74491,0.99422,0.82142,0.62416,0.6943,0.53491,0.74556,0.71632,0.95322,0.007426,0.007426,0.007426
15,3155.16,0.79969,0.72535,0.99245,0.88622,0.60457,0.69903,0.54399,0.717,0.71413,0.9469,0.007228,0.007228,0.007228
16,3260.56,0.76824,0.69674,0.97877,0.85278,0.59183,0.66994,0.52976,0.73278,0.77349,0.95879,0.00703,0.00703,0.00703
17,3519.21,0.76873,0.68089,0.96995,0.91295,0.59203,0.7035,0.55358,0.697,0.66481,0.93255,0.006832,0.006832,0.006832
18,3639.01,0.75417,0.66878,0.96943,0.9178,0.60319,0.70532,0.54903,0.69215,0.6542,0.93345,0.006634,0.006634,0.006634
19,3775.68,0.73256,0.63881,0.9596,0.91337,0.60471,0.70667,0.55611,0.67472,0.63319,0.92457,0.006436,0.006436,0.006436
20,3979.96,0.74484,0.65131,0.96689,0.85469,0.65189,0.71657,0.5659,0.67532,0.64621,0.9327,0.006238,0.006238,0.006238
21,4174.92,0.72208,0.6214,0.95062,0.85895,0.63136,0.71427,0.56287,0.67276,0.63421,0.91861,0.00604,0.00604,0.00604
22,4390.61,0.69803,0.60019,0.94591,0.88085,0.61977,0.71975,0.56858,0.66838,0.6211,0.92759,0.005842,0.005842,0.005842
23,4631.4,0.69801,0.59491,0.95055,0.92198,0.64303,0.73418,0.58702,0.65565,0.59794,0.9223,0.005644,0.005644,0.005644
24,4760.78,0.68408,0.57949,0.94108,0.94445,0.63897,0.75289,0.59178,0.64732,0.5799,0.9215,0.005446,0.005446,0.005446
25,4927.9,0.67563,0.57018,0.92911,0.87766,0.66195,0.7403,0.59031,0.62902,0.56903,0.90452,0.005248,0.005248,0.005248
26,5080.73,0.66483,0.55242,0.92717,0.89012,0.66641,0.74508,0.5858,0.64462,0.57426,0.91563,0.00505,0.00505,0.00505
27,5244.21,0.65186,0.53963,0.92679,0.90208,0.66495,0.75276,0.59549,0.64258,0.57703,0.90974,0.004852,0.004852,0.004852
28,5386.77,0.63638,0.52309,0.92078,0.9091,0.65141,0.75343,0.59544,0.61816,0.57192,0.90734,0.004654,0.004654,0.004654
29,5512.31,0.63683,0.52408,0.91819,0.91741,0.67064,0.75675,0.60616,0.60298,0.5432,0.90132,0.004456,0.004456,0.004456
30,5563.23,0.63879,0.52006,0.92257,0.91834,0.65888,0.75313,0.60781,0.60533,0.5449,0.90504,0.004258,0.004258,0.004258
31,5620.4,0.61202,0.49342,0.9053,0.92401,0.66475,0.76138,0.60189,0.59523,0.54024,0.89533,0.00406,0.00406,0.00406
